,user_id,activity,start_time,end_time
0,348f8d18-a28a-4d50-bdea-3e409760bb81,pilates,2022-03-24 06:54:45,2022-03-24 07:01:46
1,9eb8b5f4-542a-441b-983b-5a276c2b9b1a,running,2022-03-24 07:02:33,2022-03-24 07:10:41
2,cef1e66a-97f8-46b3-8281-ec0e3969ac21,meditation,2022-03-24 07:11:17,2022-03-24 07:19:11
3,4548b498-4553-4b74-a847-28122af1e3c6,pilates,2022-03-24 07:23:35,2022-03-24 07:30:24
4,a96a87c8-c79a-463e-bb6b-fd1b63755b95,walking,2022-03-24 07:30:47,2022-03-24 07:36:54
5,b365b0f0-4695-4dd7-9779-d2436c2a5198,pilates,2022-03-24 07:39:25,2022-03-24 07:47:32
6,41d2e277-46f9-4c15-8bbc-6e26bfcdfe30,walking,2022-03-24 07:44:47,2022-03-24 07:51:06
7,57aeab35-015a-49df-8b92-c2a63e744f45,walking,2022-03-24 07:53:54,2022-03-24 08:00:08
8,9eb2a35d-7e1f-4232-b210-5ea94af5f219,meditation,2022-03-24 08:10:00,2022-03-24 08:18:54
9,49bd1de9-45f8-4397-80f5-2cc628b9de44,walking,2022-03-24 08:18:17,2022-03-24 08:25:42
10,63d377e5-1fdf-4128-8618-31e887e62432,walking,2022-03-24 08:28:51,2022-03-24 08:35:26
11,57aeab35-015a-49df-8b92-c2a63e744f45,meditation,2022-03-24 08:35:42,2022-03-24 08:44:24
12,b365b0f0-4695-4dd7-9779-d2436c2a5198,running,2022-03-24 08:51:13,2022-03-24 08:56:14
13,4548b498-4553-4b74-a847-28122af1e3c6,running,2022-03-24 09:10:58,2022-03-24 09:17:00
14,8c0b856f-b979-4d1b-9933-856661874f41,running,2022-03-24 09:30:01,2022-03-24 09:36:53
15,57aeab35-015a-49df-8b92-c2a63e744f45,walking,2022-03-24 09:40:12,2022-03-24 09:49:49
16,348f8d18-a28a-4d50-bdea-3e409760bb81,walking,2022-03-24 09:55:55,2022-03-24 10:05:05
17,49bd1de9-45f8-4397-80f5-2cc628b9de44,aerobics,2022-03-24 10:11:24,2022-03-24 10:17:27
18,8c0b856f-b979-4d1b-9933-856661874f41,walking,2022-03-24 10:29:53,2022-03-24 10:36:32
19,a09dc520-40f5-4997-bec8-354320cc99a4,meditation,2022-03-24 10:37:19,2022-03-24 10:43:33
20,9eb8b5f4-542a-441b-983b-5a276c2b9b1a,aerobics,2022-03-24 10:54:24,2022-03-24 10:59:37
21,d2fae8ab-b49a-41c8-a5fe-d6ec474ccf5b,aerobics,2022-03-24 11:10:25,2022-03-24 11:15:53
22,348f8d18-a28a-4d50-bdea-3e409760bb81,running,2022-03-24 11:24:40,2022-03-24 11:30:39
23,4548b498-4553-4b74-a847-28122af1e3c6,meditation,2022-03-24 11:37:44,2022-03-24 11:46:10
24,f270972b-ea6c-4146-aa76-33143dfc44b1,running,2022-03-24 11:54:31,2022-03-24 12:03:03
25,114b8f03-b997-4c9f-abc0-fe196dcf48e8,meditation,2022-03-24 12:07:51,2022-03-24 12:15:35
26,64e19970-d38b-431a-89a3-c7f8764b4dce,aerobics,2022-03-24 12:18:09,2022-03-24 12:24:25
27,7d9acb03-5a81-4dcc-8d16-634e64bd942d,aerobics,2022-03-24 12:33:44,2022-03-24 12:42:39
28,1682a0bd-ec3c-42e2-99cb-500048b0e418,running,2022-03-24 12:47:49,2022-03-24 12:57:09
29,77542bc0-4b6e-4e28-8b68-4bb8188f5649,walking,2022-03-24 13:04:11,2022-03-24 13:10:16
30,7d9acb03-5a81-4dcc-8d16-634e64bd942d,aerobics,2022-03-24 13:22:46,2022-03-24 13:31:17
31,ccff4a22-d936-48d1-b195-1619226e1c28,aerobics,2022-03-24 13:29:29,2022-03-24 13:38:14
32,afd0c7f4-364c-48a1-91aa-2f3bb3783a54,pilates,2022-03-24 13:41:38,2022-03-24 13:48:35
33,a5ecd4a3-59ea-4666-bc25-f44b0de05f42,meditation,2022-03-24 13:48:17,2022-03-24 13:54:36
34,63e51cc4-fcb5-4a3d-b6ac-4f6d6a8d0225,meditation,2022-03-24 13:53:38,2022-03-24 13:59:18
35,f81f5ea0-dd7d-4924-ab57-01ba6cd1a014,meditation,2022-03-24 14:11:45,2022-03-24 14:16:58
36,a5ecd4a3-59ea-4666-bc25-f44b0de05f42,aerobics,2022-03-24 14:22:42,2022-03-24 14:31:10
37,e03d5854-730f-46e4-8056-8e7e103783e6,pilates,2022-03-24 14:37:23,2022-03-24 14:45:30
38,348f8d18-a28a-4d50-bdea-3e409760bb81,meditation,2022-03-24 14:50:39,2022-03-24 14:56:47
39,64e19970-d38b-431a-89a3-c7f8764b4dce,meditation,2022-03-24 15:04:51,2022-03-24 15:12:46
